year,agency,field,value
2016,FHFA,litigation_cost,0.00
2017,FHFA,litigation_cost,0.00
2018,FHFA,litigation_cost,0.00
2019,FHFA,litigation_cost,0.00
2020,FHFA,litigation_cost,0.00
2021,FHFA,litigation_cost,0.00
2022,FHFA,litigation_cost,0.00
2023,FHFA,litigation_cost,1754.52
2024,FHFA,litigation_cost,42021.16
2008,FLRA,litigation_cost,0.00
2009,FLRA,litigation_cost,0.00
2010,FLRA,litigation_cost,0.00
2011,FLRA,litigation_cost,0.00
2012,FLRA,litigation_cost,0.00
2013,FLRA,litigation_cost,0.00
2014,FLRA,litigation_cost,0.00
2015,FLRA,litigation_cost,0.00
2016,FLRA,litigation_cost,0.00
2017,FLRA,litigation_cost,0.00
2018,FLRA,litigation_cost,0.00
2019,FLRA,litigation_cost,0.00
2020,FLRA,litigation_cost,0.00
2021,FLRA,litigation_cost,0.00
2022,FLRA,litigation_cost,0.00
2023,FLRA,litigation_cost,0.00
2024,FLRA,litigation_cost,0.00
2008,FMC,litigation_cost,0.00
2009,FMC,litigation_cost,6468.00
2010,FMC,litigation_cost,48633.00
2011,FMC,litigation_cost,0.00
2012,FMC,litigation_cost,0.00
2013,FMC,litigation_cost,0.00
2014,FMC,litigation_cost,0.00
2015,FMC,litigation_cost,0.00
2016,FMC,litigation_cost,0.00
2017,FMC,litigation_cost,0.00
2018,FMC,litigation_cost,0.00
2019,FMC,litigation_cost,0.00
2020,FMC,litigation_cost,0.00
2021,FMC,litigation_cost,0.00
2022,FMC,litigation_cost,0.00
2023,FMC,litigation_cost,0.00
2024,FMC,litigation_cost,0.00
2008,FMCS,litigation_cost,0.00
2009,FMCS,litigation_cost,0.00
2010,FMCS,litigation_cost,0.00
2011,FMCS,litigation_cost,0.00
2012,FMCS,litigation_cost,0.00
2013,FMCS,litigation_cost,0.00
2014,FMCS,litigation_cost,0.00
2015,FMCS,litigation_cost,0.00
2016,FMCS,litigation_cost,0.00
2017,FMCS,litigation_cost,0.00
2018,FMCS,litigation_cost,0.00
2019,FMCS,litigation_cost,0.00
2020,FMCS,litigation_cost,0.00
2021,FMCS,litigation_cost,0.00
2022,FMCS,litigation_cost,0.00
2023,FMCS,litigation_cost,0.00
2024,FMCS,litigation_cost,0.00
2008,FMSHRC,litigation_cost,0.00
